9.35E-05	9.23E-05	9.67E-05	0.000105911	0.000110103	4.43E-05	0.000174371	0.000101826	0.000147822	0.000131818	0.00012288	0.000110115	7.93E-05	-0.000173457	-0.0101711
0.000171648	0.000170496	0.000174816	0.000184047	0.000188288	0.000122591	0.000252675	0.000180051	0.000226077	0.000210054	0.000201	0.000187402	0.000152303	-0.000174251	-0.0129626
0.000279361	0.000278369	0.000282675	0.000291896	0.000296186	0.00023061	0.000360689	0.000287976	0.000334014	0.000317956	0.000308752	0.000294237	0.000254316	-0.000172948	-0.0156816
0.000419107	0.000418498	0.000422789	0.000432	0.000436341	0.000370884	0.000500957	0.000428147	0.000474183	0.000458079	0.000448691	0.000433167	0.000387609	-0.000177041	-0.0183097
0.000597764	0.000597965	0.000602242	0.000611443	0.000615835	0.000550492	0.000680562	0.00060765	0.000653679	0.000637518	0.00062791	0.000611265	0.00055897	-0.000195232	-0.0208155
0.000818632	0.000820409	0.000824674	0.000833866	0.000838311	0.000773077	0.000903147	0.00083013	0.000876153	0.000859928	0.000850061	0.000832159	0.000771723	-0.000250297	-0.0231551
0.00106803	0.00107261	0.00107686	0.00108605	0.00109055	0.00102542	0.00115549	0.00108237	0.0011284	0.00111211	0.00110194	0.00108262	0.00101227	-0.000399636	-0.0252755
0.0013329	0.00134202	0.00134627	0.00135545	0.00136	0.00129498	0.00142506	0.00135183	0.00139788	0.00138153	0.00137101	0.00135006	0.00126752	-0.000726766	-0.0270829
0.00160232	0.00161823	0.0016225	0.00163166	0.00163628	0.00157135	0.00170144	0.0016281	0.00167417	0.00165774	0.00164682	0.00162402	0.00152605	-0.00134457	-0.028433
0.00186632	0.00189171	0.00189601	0.00190517	0.00190985	0.001845	0.00197511	0.00190164	0.00194769	0.00193115	0.00191977	0.00189486	0.00177563	-0.0023779	-0.0291587
0.00212021	0.00215811	0.00216249	0.00217164	0.00217638	0.00211162	0.00224174	0.00216809	0.00221403	0.00219731	0.00218541	0.002158	0.00200447	-0.00389085	-0.029164
0.00235675	0.00241043	0.00241494	0.00242407	0.00242888	0.00236419	0.00249433	0.0024204	0.00246606	0.00244905	0.00243654	0.00240596	0.00218828	-0.00579779	-0.0285686
0.0025695	0.00264226	0.00264697	0.0026561	0.00266097	0.00259635	0.00272649	0.00265215	0.00269727	0.00267978	0.00266656	0.00263153	0.0022893	-0.00784905	-0.0277147
0.00275457	0.00284959	0.00285459	0.00286371	0.00286865	0.00280411	0.00293422	0.00285929	0.00290349	0.00288529	0.00287121	0.00282954	0.00226016	-0.00976301	-0.0269679
0.0029072	0.00302737	0.00303278	0.0030419	0.00304691	0.00298242	0.00311249	0.00303672	0.00307955	0.00306031	0.00304514	0.00299341	0.00204984	-0.011367	-0.0265291
0.00302356	0.00317128	0.00317724	0.00318635	0.00319142	0.00312699	0.00325699	0.00318012	0.00322101	0.00320038	0.00318381	0.00311675	0.00161672	-0.0126145	-0.0264204
0.00310274	0.00327983	0.00328647	0.00329557	0.00330072	0.00323632	0.00336624	0.00328796	0.00332631	0.00330389	0.00328546	0.00319452	0.000941682	-0.0135361	-0.0265683
0.00314623	0.00335381	0.0033613	0.00337038	0.00337561	0.00331125	0.00344103	0.00336105	0.00339629	0.00337166	0.00335073	0.0032212	3.77E-05	-0.0142011	-0.0268751
0.003158	0.00339654	0.00340502	0.0034141	0.00341939	0.00335506	0.00348469	0.00340275	0.00343432	0.0034071	0.00338274	0.00318941	-0.00104653	-0.0146966	-0.0272526
0.00314617	0.0034156	0.00342522	0.00343428	0.00343965	0.00337535	0.0035048	0.00342068	0.00344817	0.00341801	0.00338882	0.00309077	-0.00223337	-0.0151072	-0.0276337
0.00312318	0.00342305	0.00343396	0.00344301	0.00344845	0.00338416	0.00351342	0.00342701	0.00345014	0.00341677	0.00338072	0.00291678	-0.00343382	-0.0154955	-0.027976
0.0031028	0.00343261	0.00344493	0.00345398	0.00345949	0.00339521	0.00352428	0.00343553	0.00345422	0.00341744	0.00337151	0.00265873	-0.00456781	-0.0158914	-0.0282623
0.00309636	0.00345576	0.00346965	0.00347869	0.00348427	0.00342	0.00354887	0.00345784	0.0034722	0.00343185	0.00337147	0.00230856	-0.00557821	-0.0162965	-0.0284962
0.00311052	0.00349949	0.0035151	0.00352413	0.00352978	0.00346552	0.00359421	0.00350103	0.00351129	0.00346726	0.0033851	0.00186216	-0.00643634	-0.0166958	-0.0286921
0.00314853	0.0035675	0.00358499	0.00359401	0.00359974	0.00353547	0.00366401	0.00356885	0.00357535	0.00352746	0.00341161	0.00132577	-0.0071394	-0.0170699	-0.0288643
0.00321266	0.00366256	0.00368211	0.00369113	0.00369693	0.00363265	0.00376105	0.00366409	0.00366717	0.00361507	0.00344639	0.000720538	-0.00770345	-0.0174014	-0.0290197
0.00330444	0.00378674	0.00380859	0.00381759	0.00382347	0.00375918	0.00388746	0.00378881	0.0037887	0.00373176	0.00348087	8.02E-05	-0.00815554	-0.0176797	-0.0291577
0.00342613	0.00394294	0.00396732	0.00397632	0.00398228	0.00391796	0.00404613	0.00394581	0.00394254	0.00387963	0.00350451	-0.000554321	-0.00852304	-0.0179003	-0.0292717
0.00358027	0.00413443	0.00416166	0.00417065	0.00417669	0.00411234	0.00424038	0.00413827	0.00413157	0.00406077	0.00350604	-0.00114318	-0.00882657	-0.0180641	-0.0293528
0.00376523	0.00436042	0.00439086	0.00439985	0.00440598	0.00434159	0.00446947	0.00436528	0.00435454	0.00427267	0.00347172	-0.00165885	-0.00908096	-0.0181784	-0.0293974
